E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,TRANSPARENCIA,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_.,SEMAFORO
1,1,8.933333333,25,1,1,0,1,1,25,0.15,0.25482,1,5.2,1,1,1,51.09,158.3333333,96.63333333,1
1,1,8.633333333,25,1,1,1,1,1,40,0.25,0.24249,1,15,1,1,1,49.49,134.3,94.56666667,0
1,1,8.4,25,1,1,0,1,1,120,0.35,0.31801,1,45,1,1,1,34.4,158.3333333,77.83333333,1
1,0,7.766666667,24,1,1,1,1,1,40,0.35,0.28359,1,5,1,1,1,39.95,136.2333333,75.36666667,0
1,1,8.933333333,25,1,1,0,1,1,25,0.55,0.25893,1,6.4,1,1,1,36.14,158.3333333,96.63333333,1
1,0,8.766666667,25,1,1,0,1,1,100,0.25,0.39456,1,21,1,1,1,36.23,158.3333333,87.73333333,1
1,1,7,29,1,1,0,1,1,5,0.5,0.31801,1,39,1,1,1,36.14,140,74.53333333,1
1,1,7.893333333,27,1,1,1,1,1,75,1,0.009,1,12,1,1,1,59.914,153.1,65.93333333,0
1,1,8.566666667,27,1,1,1,1,1,25,0.5,0.009,1,7.5,1,1,1,154.5544,197.3333333,84.46666667,0
1,1,8.5,25,1,1,0,1,1,100,0.4,0.411,1,16,1,1,1,67.232,108,86.2,1
1,1,6.993333333,25,1,1,0,1,1,30,0.5,0.445,1,19,1,0,1,153,150.5333333,41.63333333,1
1,0,8.266666667,25,1,1,0,1,1,25,1,0.283,1,4.1,1,0,1,34,131.2666667,90.36666667,1
1,1,7.4,27,1,1,1,1,1,60,0.6,0.387,1,17,1,1,1,39.17,109.2,90.96666667,0
1,0,7.533333333,27,1,1,1,1,1,75,0.4,0.696,1,23,1,1,1,61.76,100.9666667,72.76666667,0
1,1,8.566666667,24,1,1,1,1,1,150,0.4,0.66539,1,32,1,1,1,31.3,134.3,57.33333333,0
1,1,8.5,25,1,1,0,1,1,90,0.4,0.6283,1,22,1,1,1,20.64,158.3333333,86.2,1
1,0,8.766666667,25,1,1,0,1,1,90,0.16,0.5479,1,28,1,1,1,26.97,158.3333333,87.73333333,1
0,0,7.533333333,24,1,1,1,1,1,250,0.24,0.7696,1,55,1,1,1,20.44,595,72.76666667,0
1,1,8.4,24,1,1,1,1,1,100,0.24,0.87337,1,28,1,1,1,94.86,134.3,65.9,0
1,0,8.766666667,25,1,1,0,1,1,75,0.25,0.4682,1,21,1,1,0,36.43,158.3333333,82.13333333,1
1,1,8.4,25,1,1,0,1,1,150,0.35,0.94722,1,37,1,1,1,20,158.3333333,86.2,1
1,1,8,24,1,1,1,1,1,250,0.25,0.38018,1,55,1,1,1,34.13,134.3,74.5,0
1,1,9.186666667,25,1,1,0,1,1,100,0.3,0.0138,1,16,1,1,0,150.818,294,56.36666667,1
1,1,8.5,25,1,1,0,1,1,250,0.2,0.411,1,120,1,1,1,331.188,501,81.1,1
1,1,8.4,27,1,1,1,1,1,100,0.4,0.423,1,6.6,1,1,1,462.22,194.3333333,84.46666667,0
1,1,7.546666667,25,1,1,0,1,1,50,0.3,0.439,1,2.8,1,1,1,103,222,51.73333333,1
1,1,7.9,25,1,1,0,1,1,30,1.1,0.353,1,4.5,1,1,1,255.2,141.4333333,81.1,1
1,1,8.166666667,25,1,1,0,1,1,40,0.8,0.366,1,3.5,1,0,1,161.02,184.7333333,73.96666667,1
1,0,7.766666667,27,1,1,1,1,1,60,0.8,0.46635,1,6.9,1,1,1,63.95,164.5,74.7,0
1,1,7.9,27,1,1,1,1,1,60,1,0.37401,1,8.5,1,0,1,77.2,141.1,70.5,0
0,0,8.766666667,25,1,1,0,1,1,60,0.4,0.39655,1,4.6,1,1,1,70.17,423.3333333,58.33333333,1
1,1,8.433333333,27,1,1,1,1,1,40,0.23,0.37297,1,2.8,1,1,1,80.91,160.9666667,65.9,0
0,0,8.766666667,25,1,1,0,1,1,50,0.25,0.33291,1,9.2,1,1,1,102.18,423.3333333,58.33333333,1
1,1,8.5,25,1,1,0,1,1,60,0.35,0.46968,1,7.6,1,1,1,113.42,160.1,91.7,1
1,1,8.8,25,1,1,0,1,1,30,0.35,0.34814,1,2.8,1,1,1,74.88,158.3333333,91.7,1
1,1,8.5,25,1,1,0,1,1,300,0.25,0.71925,1,50,1,1,1,60.03,172.6666667,86.2,1
1,1,8.5,25,1,1,0,1,1,500,0.15,0.81914,1,140,1,1,1,72.27,172.6666667,86.2,1
1,1,7,22,1,1,1,1,1,5,15,0.23587,1,9,1,1,1,55.42,138.95,63.06666667,0
1,1,7,17,1,1,0,1,1,5,0.93,0.31801,1,33,1,1,1,36.14,140,74.53333333,1
1,1,8.933333333,25,1,1,0,1,1,60,0.7,0.009,1,12.4,1,1,0,70.244,147.2333333,82.13333333,1
1,1,8.566666667,27,1,1,1,1,1,30,0.5,0.009,1,19,1,1,1,182.6552,264.3333333,71.16666667,0
1,1,8,27,1,1,1,1,1,100,0.45,0.305,1,16,1,1,1,52.525,94.33333333,73.3,0
1,1,6.976666667,25,1,1,0,1,1,125,0.3,0.417,1,34,1,1,1,45.91,137.3333333,74.53333333,1
1,0,8.2,25,1,1,0,1,1,40,1,0.214,1,4,1,1,1,38,110.5333333,88.2,1
1,0,7.766666667,25,1,1,1,1,1,60,0.7,0.286,1,13,1,1,1,43.52,136.2333333,75.36666667,0
1,1,7.833333333,27,1,1,1,1,1,100,0.4,0.44,1,24,1,0,1,27.89,85.1,99.2,0
1,1,8.566666667,24,1,1,1,1,1,75,0.3,0.38018,1,28,1,1,1,37.56,134.3,74.5,0
1,0,7.766666667,25,1,1,1,1,1,60,0.5,0.30385,1,13,1,1,1,41.28,136.2333333,75.36666667,0
1,1,8.933333333,25,1,1,0,1,1,70,0.17,0.22615,1,19,1,1,1,60.16,158.3333333,96.63333333,1
1,0,8.766666667,25,1,1,0,1,1,130,0.55,0.27265,1,13,1,0,1,51.09,299,87.73333333,1
1,1,8.5,25,1,1,0,1,1,100,0.15,0.53944,1,29,1,1,1,107.23,158.3333333,86.2,1
1,0,7.766666667,25,1,1,1,1,1,60,0.25,0.25585,1,14,1,1,1,60.71,136.2333333,75.36666667,0
1,1,8,24,1,1,1,1,1,150,0.35,0.53944,1,30,1,1,1,52.29,134.3,57.33333333,0
1,1,8.5,24,1,1,1,1,1,100,0.25,0.29458,1,27,1,1,1,74.28,134.3,84.46666667,0
1,1,8.566666667,24,1,1,1,1,1,50,0.15,0.23587,1,7.6,1,1,1,55.42,134.3,86.06666667,0
1,1,7,21,1,1,0,1,1,5,28,0.4806,1,18,1,1,1,74.88,140,74.53333333,1
1,1,7,16,1,1,0,1,1,5,0.66,0.4806,1,25,1,1,1,74.88,140,74.53333333,1
1,1,7.64,25,1,1,0,1,1,50,0.6,0.009,1,9.5,1,1,1,78.508,208.6666667,64.83333333,1
1,1,8.933333333,25,1,1,0,1,1,30,0.2,0.009,1,15,0,1,1,83.6976,238.6666667,84.26666667,1
1,1,7.64,25,1,1,0,1,1,50,0.45,0.031,1,16,1,1,1,90.024,192,56.66666667,1
1,1,7.766666667,25,1,1,0,1,1,20,0.4,0.219,1,14,1,1,1,109,274,67.76666667,1
1,1,8.933333333,25,1,1,0,1,1,25,0.5,0.21,1,4.4,1,1,1,89,172.6666667,96.63333333,1
1,1,8.766666667,25,1,1,0,1,1,25,0.7,0.145,1,8.5,1,0,1,77.4,170.6666667,73.96666667,1
1,1,7.5,27,1,1,1,1,1,30,0.6,0.26,1,10,0,0,1,59.77,180.7666667,11.86666667,0
1,1,8.4,27,1,1,1,1,1,25,0.4,0.19982,1,6.9,1,1,1,81.37,160.9333333,86.06666667,0
1,1,8.5,27,1,1,1,1,1,25,0.4,0.18437,1,5.7,1,1,1,82.55,213.0666667,84.46666667,0
1,1,8.933333333,25,1,1,0,1,1,30,0.48,0.22697,1,6.6,0,1,1,103.73,172.6666667,96.63333333,1
1,0,8.766666667,25,1,1,0,1,1,30,0.15,0.23941,1,6.1,0,1,1,81.74,238.6666667,87.73333333,1
1,1,8.3,25,1,1,0,1,1,30,0.65,0.25956,1,8.9,1,1,1,72.18,163.9333333,77.83333333,1
1,1,8.566666667,24,1,1,1,1,1,30,0.35,0.23587,1,7.3,1,1,1,68.81,134.3,86.06666667,0
1,1,8.633333333,24,1,1,1,1,1,25,0.35,0.22715,1,9.3,1,1,1,63.91,138.95,86.06666667,0
1,1,8.766666667,25,1,1,0,1,1,15,0.53,0.18952,1,6.3,1,1,0,72.27,137.2666667,95.13333333,1
1,1,8.766666667,25,1,1,0,1,1,100,0.15,0.35432,1,35,0,1,0,108.3,172.6666667,87.73333333,1
1,0,8.766666667,25,1,1,0,1,1,50,0.15,0.20972,1,12,1,1,1,79.59,299,77.83333333,1
1,1,7,30,1,1,0,1,1,5,0.5,0.219,1,30,1,1,1,89,450,65.16666667,1
1,1,7,29,1,1,1,1,1,5,0.49,0.305,1,28,1,1,1,154.5544,469,51.83333333,0
1,1,7,28,1,1,0,1,1,5,0.5,0.219,1,27,1,1,1,73.469,140,67.76666667,1
1,1,7,27,1,1,0,1,1,5,1.2,0.219,1,11.3,1,1,1,73.469,139,67.76666667,1
1,1,7,28,1,1,1,1,1,5,2.1,0.158,1,5.3,1,1,1,52.525,138,63.06666667,0
1,1,6,27,1,1,1,1,1,5,0.49,0.009,1,4.4,1,1,1,59.784,231,63.06666667,0
1,1,7,34,0,0,0,1,1,5,0.3,0.219,1,200,1,1,1,102,600,65.16666667,1
1,1,8,30,1,0,0,1,1,5,0.29,0.219,1,60,1,1,1,89,208,67.76666667,1
1,1,6,22,1,0,0,1,1,5,0.23,0.219,1,116,1,1,1,89,410,65.16666667,1
