TIPO CUERPO DE AGUA,TOX_V_15_UT (NORMAL),E_COLI,COLI_FEC,pH_CAMPO,TEMP_AGUA,COT,DBO_TOT,DQO_TOT,N_TOT,P_TOT,COLOR_VER,ABS_UV,SST,TURBIEDAD,AS_TOT,HG_TOT,PB_TOT,DUR_TOT,CONDUC_CAMPO,OD_%
LÓTICO,1,1,0,8.6,18.4,1,1,0,1,1,100,0.271,1,35,0,1,1,289.5,1587,117.6
LÓTICO,1,0,0,7.5,23.2,0,0,0,0,1,125,0.524,1,54,1,1,1,241.1,1659,10
LÓTICO,0,0,0,7.5,23.1,0,0,0,0,1,150,0.429,1,100,1,1,1,244.08,1642,10
LÓTICO,1,0,0,7.8,23.9,1,1,0,1,1,150,0.379,1,70,1,1,1,86.12,260,46.8
LÓTICO,1,0,0,7,22,1,1,0,1,1,125,0.15591,1,15,1,0,1,147.42,633,10
LÓTICO,1,0,0,8.4,26.5,1,1,0,1,1,250,0.41884,1,150,0,1,0,258.96,1747,38.3
LÓTICO,1,0,0,7.5,28.1,1,1,0,1,1,125,0.47898,1,52,1,1,1,138.39,785,25.4
LÓTICO,1,0,0,7.8,23.1,1,0,0,1,1,90,0.30825,1,140,1,1,1,124.14,629,38.1
LÓTICO,1,0,0,7.9,19,0,1,0,0,1,300,0.79825,1,66,1,1,0,262.54,1725,10
LÓTICO,1,0,0,7.9,17.6,0,0,0,0,1,200,0.43775,1,110,1,0,1,268.29,1809,10
LÓTICO,1,0,0,7.9,26.3,1,0,0,0,1,250,0.996,1,60,0,1,1,231.27,1950,10
LÓTICO,1,0,0,7.3,23.8,1,0,0,1,1,250,0.501,1,85,0,1,1,110.35,654,10
LÓTICO,1,0,0,7.7,20,0,0,0,1,1,500,1.67,1,28,1,1,1,143.53,813,10
LÓTICO,1,0,0,7.7,27,0,0,0,0,1,250,0.798,1,40,1,1,1,226.03,1793,10
LÓTICO,1,0,0,7.8,22.5,0,,0,0,1,150,1.056,1,26,0,1,1,168.02,926,10
LÓTICO,1,0,0,8.6,21.9,1,0,0,0,1,250,0.549,0,100,0,1,1,283.92,1550,103.8
LÓTICO,1,0,0,7.4,27.6,0,1,0,0,1,90,0.102,1,37,0,1,1,200.544,1504,10
LÓTICO,1,0,0,7.8,22,,,,0,1,130,0.252,1,45,0,1,1,195.745,1254,24.8
LÓTICO,0,0,0,7.6,22.4,0,0,0,0,1,200,0.111,0,70,0,1,1,201.511,1406,30.6
LÓTICO,1,1,1,7.59,19.8,,1,1,1,1,62.5,0.009,1,30,1,1,1,296.7304,2291,63.58
LÓTICO,0,1,1,7.54,23,0,1,0,0,0,150,0.009,1,28,1,0,1,284.536,2470,62.9
LÓTICO,0,1,1,7.67,20.4,1,1,0,0,1,75,0.009,1,30,1,1,1,339.4108,2285,50.4
LÓTICO,1,1,0,7.86,24.4,1,0,0,1,1,7.5,0.009,1,25,0,0,1,189.214,1384,75.6
LÓTICO,1,1,1,7.83,22.3,1,0,0,0,1,187.5,0.009,1,32.5,1,1,1,204.1412,1371,79.6
LÓTICO,0,0,0,7.33,17.7,0,0,0,0,1,125,0.0162,0,110,0,0,1,989.235,1455,12
LÓTICO,0,1,1,7.7,25.8,1,1,0,0,1,87.5,0.069,1,24,0,1,1,206.3698,1436,59.7
LÓTICO,1,0,0,7.55,28.4,1,0,0,0,1,125,0.009,1,77.5,1,0,1,194.3298,1387,27.5
LÓTICO,1,0,0,7.6,26.9,1,0,0,0,1,250,0.3317,1,35,0,0,0,184.319,1380,20.6
LÓTICO,0,0,0,7.5,24.8,1,0,0,0,1,125,0.294,1,63,1,0,1,167.456,1191,10
LÓTICO,1,0,0,7.63,25.1,1,0,0,0,1,125,0.266,1,21,1,0,1,193.384,1449,33.7
LÓTICO,1,0,0,7.67,23.8,1,1,0,0,1,125,0.302,1,27,1,1,1,239.18,1474,32.6
